原id,新id,原分类,新分类,cn_display,en_display,是否曾经需要在ui展示
181,190,GAME_DESIGNER,ARTS_DESIGN_ENTERTAINMENT_SPORTS_AND_MEDIA.GRAPHIC_DESIGN,平面设计,Graphic Design,FALSE
322,28,ENGINEERING_AND_TECHNICAL.MECHANICAL.ELECTROMECHANICS,HARDWARE.MECHANICAL_ENGINEER,硬件机械,Hardware Mechanical Engineer,FALSE
69,29,ENGINEERING_AND_TECHNICAL.STORAGE_AND_DISASTER_RECOVERY,SOFTWARE.INFORMATION_SECURITY,信息安全,Information Security,FALSE
53,30,ENGINEERING_AND_TECHNICAL.DATA_CENTER,SOFTWARE.IT_SUPPORT,IT 支持,IT Support,FALSE
61,30,ENGINEERING_AND_TECHNICAL.IT_ASSET_MANAGEMENT,SOFTWARE.IT_SUPPORT,IT 支持,IT Support,FALSE
62,30,ENGINEERING_AND_TECHNICAL.IT_AUDIT_OR_IT_COMPLIANCE,SOFTWARE.IT_SUPPORT,IT 支持,IT Support,FALSE
47,30,ENGINEERING_AND_TECHNICAL.SUPPORT_OR_TECHNICAL_SERVICES,SOFTWARE.IT_SUPPORT,IT 支持,IT Support,FALSE
314,36,CSUITE.CHIEF_EXECUTIVE_OFFICER,OPERATIONS,运营,Operations,FALSE
319,36,CSUITE.CHIEF_OPERATIONS_OFFICER,OPERATIONS,运营,Operations,FALSE
52,91,ENGINEERING_AND_TECHNICAL.BUSINESS_SERVICE_MANAGEMENT_OR_ITSM,SOFTWARE,软件,Software,FALSE
56,91,ENGINEERING_AND_TECHNICAL.ENTERPRISE_ARCHITECTURE,SOFTWARE,软件,Software,FALSE
22,91,ENGINEERING_AND_TECHNICAL.GAMES_SOFTWARE_DEVELOPMENT,SOFTWARE,软件,Software,TRUE
27,91,ENGINEERING_AND_TECHNICAL.WEB_DEVELOPMENT,SOFTWARE,软件,Software,TRUE
71,91,ENGINEERING_AND_TECHNICAL.VIRTUALIZATION,SOFTWARE,软件,Software,FALSE
315,32,CSUITE.CHIEF_FINANCE_OFFICER,FINANCE,金融,Finance,FALSE
316,218,CSUITE.CHIEF_HUMAN_RESOURCES_OFFICER,HUMAN_RESOURCES,人力资源,Human Resources,FALSE
317,34,CSUITE.CHIEF_LEGAL_OFFICER,LEGAL,法务,Legal,FALSE
24,35,CSUITE.CHIEF_MARKETING_OFFICER,MARKETING,市场,Marketing,FALSE
318,163,CSUITE.CHIEF_MEDICAL_AND_HEALTH_OFFICER,MEDICAL_AND_HEALTH,医学与健康,Medical & Health,FALSE
320,37,CSUITE.CHIEF_SALES_OFFICER,SALES,销售,Sales,FALSE
31,del,ENGINEERING_AND_TECHNICAL,,,,
25,del,ENGINEERING_AND_TECHNICAL.TECHNOLOGY_OPERATIONS,,,,
58,del,ENGINEERING_AND_TECHNICAL.HR_OR_FINANCIAL_OR_ERP_SYSTEMS,,,,
21,del,ENGINEERING_AND_TECHNICAL.EMERGING_TECHNOLOGY_OR_INNOVATION,,,,
63,del,ENGINEERING_AND_TECHNICAL.IT_PROCUREMENT,,,,
64,del,ENGINEERING_AND_TECHNICAL.IT_STRATEGY,,,,
65,del,ENGINEERING_AND_TECHNICAL.IT_TRAINING,,,,
66,del,ENGINEERING_AND_TECHNICAL.NETWORKING,,,,
67,del,ENGINEERING_AND_TECHNICAL.RETAIL_OR_STORE_SYSTEMS,,,,
45,del,ENGINEERING_AND_TECHNICAL.SCRUM_MASTER_OR_AGILE_COACH,,,,
68,del,ENGINEERING_AND_TECHNICAL.SERVERS,,,,
70,del,ENGINEERING_AND_TECHNICAL.TELECOMMUNICATIONS,,,,
313,del,CSUITE.CHIEF_ENGINEERING_AND_TECHNICAL_OFFICER,,,,
321,del,CSUITE.CHIEF_INFORMATION_OFFICER,,,,
39,del,ENGINEERING_AND_TECHNICAL.DIGITAL_TRANSFORMATION,,,,
40,del,ENGINEERING_AND_TECHNICAL.ECOMMERCE,,,,
