Linxia Hui Autonomous Prefecture,62,临夏回族自治州,0,location中文名能搜到 英文名搜索不到,562798，559031，539808，162034，139975，92993，88855，88854，88697，88695，88693，88692，80580，79512，55816，450036，431060，431059，431058，431057，431056，431055，431054，431053，431052，431051，431050，431049，431048，431047，431046，431045，431044，431043，431042，431041，431040，428563，427255，426003，425572，425073，424854，424841，424680，424619，424567，424363，424022，424021，423188，422714，422167，421742，421525，421327，420506，420449，420448，420414，505684，488453,Linxia Hui Autonomous Prefecture 有 临夏回族自治州 没有的结果
Gannan Tibetan Autonomous Prefecture,62,甘南藏族自治州,0,location中文名能搜到 英文名搜索不到,562798，559031，539808，162034，139975，92993，88855，88854，88697，88695，88693，88692，80580，79512，55816，450036，431060，431059，431058，431057，431056，431055，431054，431053，431052，431051，431050，431049，431048，431047，431046，431045，431044，431043，431042，431041，431040，428563，427255，426003，425572，425073，424854，424841，424680，424619，424567，424363，424022，424021，423188，422714，422167，421742，421525，421327，420506，420449，420448，420414，505684，488453,Gannan Tibetan Autonomous Prefecture 有 甘南藏族自治州 没有的结果
Qingyang,1,庆阳市,0,location中文名能搜到 英文名搜索不到,159590,Qingyang 有 庆阳市 没有的结果
Ali Area,0,阿里地区,8,location英文名能搜到 中文名搜索不到,540638，538983，158463，433079，433078，429127，528531，528829,阿里地区 有 Ali Area 没有的结果
Linxia Hui Autonomous Prefecture,62,临夏回族自治州,0,location中文名能搜到 英文名搜索不到,562798，559031，539808，162034，139975，92993，88855，88854，88697，88695，88693，88692，80580，79512，55816，450036，431060，431059，431058，431057，431056，431055，431054，431053，431052，431051，431050，431049，431048，431047，431046，431045，431044，431043，431042，431041，431040，428563，427255，426003，425572，425073，424854，424841，424680，424619，424567，424363，424022，424021，423188，422714，422167，421742，421525，421327，420506，420449，420448，420414，505684，488453,Linxia Hui Autonomous Prefecture 有 临夏回族自治州 没有的结果
Gannan Tibetan Autonomous Prefecture,62,甘南藏族自治州,0,location中文名能搜到 英文名搜索不到,562798，559031，539808，162034，139975，92993，88855，88854，88697，88695，88693，88692，80580，79512，55816，450036，431060，431059，431058，431057，431056，431055，431054，431053，431052，431051，431050，431049，431048，431047，431046，431045，431044，431043，431042，431041，431040，428563，427255，426003，425572，425073，424854，424841，424680，424619，424567，424363，424022，424021，423188，422714，422167，421742，421525，421327，420506，420449，420448，420414，505684，488453,Gannan Tibetan Autonomous Prefecture 有 甘南藏族自治州 没有的结果
Qingyang,1,庆阳市,0,location中文名能搜到 英文名搜索不到,159590,Qingyang 有 庆阳市 没有的结果
Ali Area,0,阿里地区,8,location英文名能搜到 中文名搜索不到,540638，538983，158463，433079，433078，429127，528531，528829,阿里地区 有 Ali Area 没有的结果
Tacheng Area,0,塔城地区,37,location英文名能搜到 中文名搜索不到,160686，562720，559763，541834，162051，162024，117703，114609，111059，91630，70286，59544，433086，433085，433084，433083，433082，433081，164075，428498，427804，426962，426863，426201，425282，424861，424824，424727，423875，423182，422975，421930，421882，421610，421524，421176，420483,塔城地区 有 Tacheng Area 没有的结果
Aksu Area,0,阿克苏地区,37,location英文名能搜到 中文名搜索不到,160686，562720，559763，541834，162051，162024，117703，114609，111059，91630，70286，59544，433086，433085，433084，433083，433082，433081，164075，428498，427804，426962，426863，426201，425282，424861，424824，424727，423875，423182，422975，421930，421882，421610，421524，421176，420483,阿克苏地区 有 Aksu Area 没有的结果
Tiemen Guan,0,铁门关市,9,location英文名能搜到 中文名搜索不到,550507，529631，160809，459510，456327，456043，455866，455773，455767,铁门关市 有 Tiemen Guan 没有的结果
Yili Kazakh Autonomous Prefecture,37,伊犁哈萨克自治州,0,location中文名能搜到 英文名搜索不到,160686，562720，559763，541834，162051，162024，117703，114609，111059，91630，70286，59544，433086，433085，433084，433083，433082，433081，164075，428498，427804，426962，426863，426201，425282，424861，424824，424727，423875，423182，422975，421930，421882，421610，421524，421176，420483,Yili Kazakh Autonomous Prefecture 有 伊犁哈萨克自治州 没有的结果
Changji Hui Autonomous Prefecture,37,昌吉回族自治州,0,location中文名能搜到 英文名搜索不到,160686，562720，559763，541834，162051，162024，117703，114609，111059，91630，70286，59544，433086，433085，433084，433083，433082，433081，164075，428498，427804，426962，426863，426201，425282，424861，424824，424727，423875，423182，422975，421930，421882，421610，421524，421176，420483,Changji Hui Autonomous Prefecture 有 昌吉回族自治州 没有的结果
