en,enResult,cn,cnResult,detail
Linxia Hui Autonomous Prefecture,1,临夏回族自治州,0,Linxia Hui Autonomous Prefecture 有 临夏回族自治州 没有的结果,572119
Gannan Tibetan Autonomous Prefecture,1,甘南藏族自治州,0,Gannan Tibetan Autonomous Prefecture 有 甘南藏族自治州 没有的结果,572119
Tacheng Area,0,塔城地区,1,塔城地区 有 Tacheng Area 没有的结果,572696
Aksu Area,0,阿克苏地区,1,阿克苏地区 有 Aksu Area 没有的结果,572696
Yili Kazakh Autonomous Prefecture,1,伊犁哈萨克自治州,0,Yili Kazakh Autonomous Prefecture 有 伊犁哈萨克自治州 没有的结果,572696
Changji Hui Autonomous Prefecture,1,昌吉回族自治州,0,Changji Hui Autonomous Prefecture 有 昌吉回族自治州 没有的结果,572696
Buyi And Miao Autonomous Prefecture In Southwest Guizhou,1,黔西南布依族苗族自治州,0,Buyi And Miao Autonomous Prefecture In Southwest Guizhou 有 黔西南布依族苗族自治州 没有的结果,572798
Qiandongnan Miao And Dong Autonomous Prefecture,1,黔东南苗族侗族自治州,0,Qiandongnan Miao And Dong Autonomous Prefecture 有 黔东南苗族侗族自治州 没有的结果,572798
Aba Tibetan And Qiang Autonomous Prefecture,12,阿坝藏族羌族自治州,0,Aba Tibetan And Qiang Autonomous Prefecture 有 阿坝藏族羌族自治州 没有的结果,573513，573511，573457，573438，573238，573235，573233，573101，573031，573002，572725，572724
Ganzi Tibetan Autonomous Prefecture,12,甘孜藏族自治州,0,Ganzi Tibetan Autonomous Prefecture 有 甘孜藏族自治州 没有的结果,573513，573511，573457，573438，573238，573235，573233，573101，573031，573002，572725，572724
Liangshan Yi Autonomous Prefecture,12,凉山彝族自治州,0,Liangshan Yi Autonomous Prefecture 有 凉山彝族自治州 没有的结果,573513，573511，573457，573438，573238，573235，573233，573101，573031，573002，572725，572724
Xiangxi Tujia And Miao Autonomous Prefecture,2,湘西土家族苗族自治州,0,Xiangxi Tujia And Miao Autonomous Prefecture 有 湘西土家族苗族自治州 没有的结果,572850，573592
Xiangyang,0,襄阳市,4,襄阳市 有 Xiangyang 没有的结果,572118，572117，572116，572115
