companyClientLevelType,Communauto,POTENTIAL_CLIENT,
companyAddresses_primary,Baidu,"{'address': '北京市海淀区百度大厦C座', 'address2': None, 'geoInfoEN': {'cityId': 9993452, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Ant financial 蚂蚁金服 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '525 Almanor Ave, Sunnyvale, CA 94085', 'address2': None, 'geoInfoEN': {'cityId': 5400075, 'city': 'Sunnyvale', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,物灵科技,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'beijing', 'address2': None, 'geoInfoEN': {'cityId': 1816670, 'city': 'Beijing', 'province': 'Beijing', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,SF-Express 顺丰物流 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '深圳南山', 'address2': None, 'geoInfoEN': {'cityId': 1795565, 'city': 'Shenzhen', 'province': 'Guangdong', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Ruijie 锐捷 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '9191 Towne Centre', 'address2': None, 'geoInfoEN': {'cityId': 5391811, 'city': 'San Diego', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,"Suzhou Becklos Electronic Technology Co., Ltd","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '48383 Fremont Blvd Unit 116', 'address2': None, 'geoInfoEN': {'cityId': 4920512, 'city': 'Fremont', 'province': 'Indiana', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Coohom 酷家乐 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '10900 NE 8th St, Suite 501', 'address2': None, 'geoInfoEN': {'cityId': 2661568, 'city': 'Bellevue', 'province': 'Geneva', 'country': 'Switzerland'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,CBMG 西比曼 China,"{'address': '9605 Medical Center Drive Ste 100', 'address2': None, 'geoInfoEN': {'cityId': 1787375, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '800 W El Camino Real #100', 'address2': None, 'geoInfoEN': {'cityId': 5375480, 'city': 'Mountain View', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Sifive Inc.,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '967 N Shoreline Blvd', 'address2': None, 'geoInfoEN': {'cityId': 4543228, 'city': 'Mountain View', 'province': 'Oklahoma', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Tubi,"{'address': '北京市朝阳区望京东园四区13号楼浦项中心A座23层', 'address2': None, 'geoInfoEN': {'cityId': 1792520, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}"
