en,enResult,cn,cnResult,detail
Linxia Hui Autonomous Prefecture,1,临夏回族自治州,0,Linxia Hui Autonomous Prefecture 有 临夏回族自治州 没有的结果: 11377
Gannan Tibetan Autonomous Prefecture,1,甘南藏族自治州,0,Gannan Tibetan Autonomous Prefecture 有 甘南藏族自治州 没有的结果: 11377
Aba Tibetan And Qiang Autonomous Prefecture,1,阿坝藏族羌族自治州,0,Aba Tibetan And Qiang Autonomous Prefecture 有 阿坝藏族羌族自治州 没有的结果: 11566
Ganzi Tibetan Autonomous Prefecture,1,甘孜藏族自治州,0,Ganzi Tibetan Autonomous Prefecture 有 甘孜藏族自治州 没有的结果: 11566
Liangshan Yi Autonomous Prefecture,1,凉山彝族自治州,0,Liangshan Yi Autonomous Prefecture 有 凉山彝族自治州 没有的结果: 11566
Dehong Dai And Jingpo Autonomous Prefecture,2,德宏傣族景颇族自治州,0,Dehong Dai And Jingpo Autonomous Prefecture 有 德宏傣族景颇族自治州 没有的结果: 11570，11569
Wenshan Zhuang And Miao Autonomous Prefecture,2,文山壮族苗族自治州,0,Wenshan Zhuang And Miao Autonomous Prefecture 有 文山壮族苗族自治州 没有的结果: 11570，11569
Nujiang Yi Autonomous Prefecture,2,怒江傈僳族自治州,0,Nujiang Yi Autonomous Prefecture 有 怒江傈僳族自治州 没有的结果: 11570，11569
Xishuangbanna Dai Autonomous Prefecture,2,西双版纳傣族自治州,0,Xishuangbanna Dai Autonomous Prefecture 有 西双版纳傣族自治州 没有的结果: 11570，11569
Chuxiong Yi Autonomous Prefecture,2,楚雄彝族自治州,0,Chuxiong Yi Autonomous Prefecture 有 楚雄彝族自治州 没有的结果: 11570，11569
Diqing Tibetan Autonomous Prefecture,2,迪庆藏族自治州,0,Diqing Tibetan Autonomous Prefecture 有 迪庆藏族自治州 没有的结果: 11570，11569
Honghe Hani And Yi Autonomous Prefecture,2,红河哈尼族彝族自治州,0,Honghe Hani And Yi Autonomous Prefecture 有 红河哈尼族彝族自治州 没有的结果: 11570，11569
Suzhou,3,苏州市,2,Suzhou 有 苏州市 没有的结果: 11822
Fuzhou,1,抚州市,0,Fuzhou 有 抚州市 没有的结果: 11698
